areaCode_x,areaName,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedThirdInjectionByPublishDate,Median age,People per sq. km,Asian%,"Black, African, Caribbean%",Mixed%,White%,Other%,Region code_x,% of key workers,% of the economically active population aged 16+ who are unemployed,% of all people aged 16-64 who are employees,% of all people aged 16-64 who are self-employed,Region name,% of households with at least 1 early-years or school age child,Average Deprivation Score 
E06000014,York,57678,402,164682,155361,126964,37.7,775,3.4,0.6,1.2,94.3,0.5,E12000003,31.5,2.7,66.6,12.1,Yorkshire and The Humber,20.2,11.7
E06000050,Cheshire West and Chester,107380,1040,284919,271506,221779,44.5,373,1.2,0.3,0.9,97.4,0.2,E12000002,30.6,3.1,66.9,10.5,North West,18.4,18.1
E08000001,Bolton,88896,934,217078,200840,142184,38.9,"2,057",14,1.7,1.8,81.9,0.7,E12000002,35.8,5,57.2,10.5,North West,24.9,30.7
E08000016,Barnsley,82327,1057,188260,178355,137023,42.4,750,0.7,0.5,0.7,97.9,0.2,E12000003,35,4.1,63.6,7.5,Yorkshire and The Humber,22.2,29.9
E08000031,Wolverhampton,82398,897,185578,171543,120654,37.8,"3,793",18,6.9,5.1,68,1.9,E12000005,36.5,6.5,64.6,7.5,West Midlands,21.8,32.1
E08000032,Bradford,161831,1444,375862,346102,235197,36.5,"1,473",26.8,1.8,2.5,67.4,1.5,E12000003,30.6,6.1,57.5,9.5,Yorkshire and The Humber,28.7,34.7
E09000018,Hounslow,88220,663,214560,197924,135479,36.4,"4,851",34.4,6.6,4.1,51.4,3.6,E12000007,28,5.1,62.7,11.8,London,27,21.5
E09000032,Wandsworth,106884,557,255149,240409,185149,34,"9,624",10.9,10.7,5,71.4,2.1,E12000007,30.1,3.3,67.8,15.2,London,18.5,16.6
E09000033,Westminster,61981,381,171522,154675,108005,36.3,"12,167",14.5,7.5,5.2,61.7,11.1,E12000007,,3.6,54.5,12.1,London,12.2,20.3
E06000023,"Bristol, City of",150647,669,361071,337361,261397,32.4,"4,224",5.5,6,3.6,84,0.9,E12000009,34.6,4.2,67.2,7.9,South West,21.8,26.4
E08000007,Stockport,94384,843,232050,220709,177542,42.4,"2,328",4.9,0.7,1.8,92.1,0.6,E12000002,36.5,3.6,66.9,9.8,North West,21.8,20.8
E08000009,Trafford,77806,636,182318,172835,138125,40.7,"2,238",7.9,2.9,2.7,85.5,1,E12000002,31.1,3.3,66.5,13,North West,26,16.1
E09000003,Barnet,115417,900,280616,262941,193352,37.4,"4,563",18.5,7.7,4.8,64.1,4.9,E12000007,29.3,4.9,65.5,12.5,London,25.4,16.1
E09000024,Merton,65896,476,160307,150103,111201,37.4,"5,490",18.1,10.4,4.7,64.9,1.9,E12000007,28.2,4.2,66.9,13,London,26.2,14.6
E06000015,Derby,78256,802,190537,179123,133538,37,"3,297",12.5,2.9,2.9,80.3,1.3,E12000004,32.3,4.8,68.5,7.4,East Midlands,22.9,26.3
E06000038,Reading,52014,333,128979,120956,89747,34.8,"4,005",13.6,6.7,4,74.8,1,E12000008,30.2,3.6,72.4,9.4,South East,24.5,19.6
E08000002,Bury,61459,704,144515,135329,101680,40.3,"1,920",7.2,1,1.8,89.2,0.7,E12000002,31,4.6,64.4,10.4,North West,22.8,23.7
E08000015,Wirral,101390,998,249245,235422,187216,44.4,"2,013",1.6,0.2,1,97,0.2,E12000002,38.9,3.5,66.2,7.3,North West,22.8,29.6
E09000014,Haringey,77005,480,186690,173218,119222,35.8,"9,076",9.5,18.8,6.5,60.5,4.7,E12000007,23.2,4.3,60.5,16,London,25.1,28
E09000027,Richmond upon Thames,60069,352,155458,147393,120422,41.1,"3,450",7.3,1.5,3.6,86,1.6,E12000007,26.3,2.8,66.6,14.6,London,30,9.4
E06000021,Stoke-on-Trent,79851,877,191451,178744,135476,37.8,"2,743",7.4,1.5,1.8,88.6,0.7,E12000005,35.2,5.1,67.6,6.9,West Midlands,21.7,34.5
E06000030,Swindon,65221,367,179586,169577,134026,40.1,966,6.4,1.4,2,89.8,0.4,E12000009,31.1,3.8,73,7.6,South West,25,18.6
E08000011,Knowsley,55144,525,110290,102584,74889,39.5,"1,744",1,0.3,1.3,97.2,0.1,E12000002,32.4,4,69.4,7.6,North West,22,43
E09000012,Hackney and City of London,83556,547,192354,176828,118968,33.3,"14,758",10.5,23.1,6.4,54.7,5.3,E12000007,29.9,4.6,56.7,12.7,London,25.3,32.5
E09000019,Islington,67440,357,168531,154099,111582,31.9,"16,321",9.2,12.8,6.5,68.2,3.4,E12000007,25.9,4.5,65.4,9.4,London,16.2,27.5
E09000020,Kensington and Chelsea,40801,274,115933,105211,75080,39.9,"12,876",10,6.5,5.7,70.6,7.2,E12000007,31.1,4.6,60.4,12.2,London,17.8,21.5
E09000026,Redbridge,94314,885,216348,199396,132051,35.8,"5,411",41.8,8.9,4.1,42.5,2.7,E12000007,29.9,5,55.4,18.2,London,33.9,17.2
