Local Authority,Cumulative Cases,Deaths (cum.),First dose (cum.),Second dose (cum.),Third dose (cum.),Median age,People per sq. km,Asian%,"Black, African, Caribbean%",Mixed%,White%,Other%,% of key workers,Unemployed (%),Employees (%),Self-employed (%),Region name,"Households, 1+ child (%)",Deprivation Score
York,57678.0,402.0,164682.0,155361.0,126964.0,37.7,775.0,3.4,0.6,1.2,94.3,0.5,31.5,2.7,66.6,12.1,Yorkshire and The Humber,20.2,11.7
York,57678.0,402.0,164682.0,155361.0,126964.0,37.7,775.0,3.4,0.6,1.2,94.3,0.5,31.5,2.7,66.6,12.1,Yorkshire and The Humber,20.2,11.7
York,57678.0,402.0,164682.0,155361.0,126964.0,37.7,775.0,3.4,0.6,1.2,94.3,0.5,31.5,2.7,66.6,12.1,Yorkshire and The Humber,20.2,11.7
York,57678.0,402.0,164682.0,155361.0,126964.0,37.7,775.0,3.4,0.6,1.2,94.3,0.5,31.5,2.7,66.6,12.1,Yorkshire and The Humber,20.2,11.7
Cheshire West and Chester,107380.0,1040.0,284919.0,271506.0,221779.0,44.5,373.0,1.2,0.3,0.9,97.4,0.2,30.6,3.1,66.9,10.5,North West,18.4,18.1
Cheshire West and Chester,107380.0,1040.0,284919.0,271506.0,221779.0,44.5,373.0,1.2,0.3,0.9,97.4,0.2,30.6,3.1,66.9,10.5,North West,18.4,18.1
Cheshire West and Chester,107380.0,1040.0,284919.0,271506.0,221779.0,44.5,373.0,1.2,0.3,0.9,97.4,0.2,30.6,3.1,66.9,10.5,North West,18.4,18.1
Cheshire West and Chester,107380.0,1040.0,284919.0,271506.0,221779.0,44.5,373.0,1.2,0.3,0.9,97.4,0.2,30.6,3.1,66.9,10.5,North West,18.4,18.1
Bolton,88896.0,934.0,217078.0,200840.0,142184.0,38.9,2057.0,14.0,1.7,1.8,81.9,0.7,35.8,5.0,57.2,10.5,North West,24.9,30.7
Bolton,88896.0,934.0,217078.0,200840.0,142184.0,38.9,2057.0,14.0,1.7,1.8,81.9,0.7,35.8,5.0,57.2,10.5,North West,24.9,30.7
Bolton,88896.0,934.0,217078.0,200840.0,142184.0,38.9,2057.0,14.0,1.7,1.8,81.9,0.7,35.8,5.0,57.2,10.5,North West,24.9,30.7
